interview_uuid,category,text,body
981c026156904ab09124ecf24f22f308,demographics,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing
981c026156904ab09124ecf24f22f308,demographics,What is your gender?,1. Female
981c026156904ab09124ecf24f22f308,demographics,What is your age?,1. 18-29
981c026156904ab09124ecf24f22f308,demographics,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent)
981c026156904ab09124ecf24f22f308,demographics,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports
981c026156904ab09124ecf24f22f308,demographics,How often do you use closed captions when watching live-televised programming?,4. Seldom
981c026156904ab09124ecf24f22f308,demographics,"On average, how many hours of television do you watch per week?",2. 6-10 hours
66e402d9d26542a39eb5242b76f96740,demographics,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,3. I am Deafened
66e402d9d26542a39eb5242b76f96740,demographics,What is your gender?,2. Male
66e402d9d26542a39eb5242b76f96740,demographics,What is your age?,2. 30-39
66e402d9d26542a39eb5242b76f96740,demographics,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent)
66e402d9d26542a39eb5242b76f96740,demographics,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports
66e402d9d26542a39eb5242b76f96740,demographics,How often do you use closed captions when watching live-televised programming?,1. Always
66e402d9d26542a39eb5242b76f96740,demographics,"On average, how many hours of television do you watch per week?",1. 1-5 hours
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,What is your gender?,1. Female
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,What is your age?,1. 18-29
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent)
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,What is your favourite (most experienced) genre(s) of live-televised programming?,4. Talk shows
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,How often do you use closed captions when watching live-televised programming?,1. Always
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,"On average, how many hours of television do you watch per week?",3. 11-15 hours
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,3. I am Deafened
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,What is your gender?,2. Male
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,What is your age?,1. 18-29
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent)
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,How often do you use closed captions when watching live-televised programming?,3. Sometimes
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,"On average, how many hours of television do you watch per week?",1. 1-5 hours
829843c8d16a4276b763dbd42d3529b7,demographics,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,2. I identify as Deaf
829843c8d16a4276b763dbd42d3529b7,demographics,What is your gender?,2. Male
829843c8d16a4276b763dbd42d3529b7,demographics,What is your age?,1. 18-29
