interview_uuid,category,created,text,body,caption_var
13eb12f595ec44509e0ff18600b74cb2,demographics,46:36.9,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
13eb12f595ec44509e0ff18600b74cb2,demographics,46:36.9,What is your gender?,2. Male,demo
13eb12f595ec44509e0ff18600b74cb2,demographics,46:36.9,What is your age?,1. 18-29,demo
13eb12f595ec44509e0ff18600b74cb2,demographics,46:36.9,What is your highest level of education completed?,3. College/Technical (diploma- 2 or 3 years),demo
13eb12f595ec44509e0ff18600b74cb2,demographics,46:36.9,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
13eb12f595ec44509e0ff18600b74cb2,demographics,46:36.9,How often do you use closed captions when watching live-televised programming?,1. Always,demo
13eb12f595ec44509e0ff18600b74cb2,demographics,46:36.9,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
5016cb18375641eaa87267ab1273afad,demographics,49:46.9,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,3. I am Deafened,demo
5016cb18375641eaa87267ab1273afad,demographics,49:46.9,What is your gender?,2. Male,demo
5016cb18375641eaa87267ab1273afad,demographics,49:46.9,What is your age?,2. 30-39,demo
5016cb18375641eaa87267ab1273afad,demographics,49:46.9,What is your highest level of education completed?,5. Graduate school,demo
5016cb18375641eaa87267ab1273afad,demographics,49:46.9,What is your favourite (most experienced) genre(s) of live-televised programming?,4. Talk shows,demo
5016cb18375641eaa87267ab1273afad,demographics,49:46.9,How often do you use closed captions when watching live-televised programming?,3. Sometimes,demo
5016cb18375641eaa87267ab1273afad,demographics,49:46.9,"On average, how many hours of television do you watch per week?",1. 1-5 hours,demo
92941c5730934941ba7710b8aaf0bdb7,demographics,52:09.6,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
92941c5730934941ba7710b8aaf0bdb7,demographics,52:09.6,What is your gender?,3. Prefer not to answer,demo
92941c5730934941ba7710b8aaf0bdb7,demographics,52:09.6,What is your age?,1. 18-29,demo
92941c5730934941ba7710b8aaf0bdb7,demographics,52:09.6,What is your highest level of education completed?,3. College/Technical (diploma- 2 or 3 years),demo
92941c5730934941ba7710b8aaf0bdb7,demographics,52:09.6,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
92941c5730934941ba7710b8aaf0bdb7,demographics,52:09.6,How often do you use closed captions when watching live-televised programming?,1. Always,demo
92941c5730934941ba7710b8aaf0bdb7,demographics,52:09.6,"On average, how many hours of television do you watch per week?",1. 1-5 hours,demo
981c026156904ab09124ecf24f22f308,demographics,56:00.3,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
981c026156904ab09124ecf24f22f308,demographics,56:00.3,What is your gender?,1. Female,demo
981c026156904ab09124ecf24f22f308,demographics,56:00.3,What is your age?,1. 18-29,demo
981c026156904ab09124ecf24f22f308,demographics,56:00.3,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
981c026156904ab09124ecf24f22f308,demographics,56:00.3,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
981c026156904ab09124ecf24f22f308,demographics,56:00.3,How often do you use closed captions when watching live-televised programming?,4. Seldom,demo
981c026156904ab09124ecf24f22f308,demographics,56:00.3,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
66e402d9d26542a39eb5242b76f96740,demographics,57:02.3,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,3. I am Deafened,demo
66e402d9d26542a39eb5242b76f96740,demographics,57:02.3,What is your gender?,2. Male,demo
66e402d9d26542a39eb5242b76f96740,demographics,57:02.3,What is your age?,2. 30-39,demo
66e402d9d26542a39eb5242b76f96740,demographics,57:02.3,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
66e402d9d26542a39eb5242b76f96740,demographics,57:02.3,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
66e402d9d26542a39eb5242b76f96740,demographics,57:02.3,How often do you use closed captions when watching live-televised programming?,1. Always,demo
66e402d9d26542a39eb5242b76f96740,demographics,57:02.3,"On average, how many hours of television do you watch per week?",1. 1-5 hours,demo
3f523919f2404738b9f4e8df2093b7d4,demographics,59:57.7,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
3f523919f2404738b9f4e8df2093b7d4,demographics,59:57.7,What is your gender?,1. Female,demo
3f523919f2404738b9f4e8df2093b7d4,demographics,59:57.7,What is your age?,2. 30-39,demo
3f523919f2404738b9f4e8df2093b7d4,demographics,59:57.7,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
3f523919f2404738b9f4e8df2093b7d4,demographics,59:57.7,What is your favourite (most experienced) genre(s) of live-televised programming?,4. Talk shows,demo
3f523919f2404738b9f4e8df2093b7d4,demographics,59:57.7,How often do you use closed captions when watching live-televised programming?,2. Frequently,demo
3f523919f2404738b9f4e8df2093b7d4,demographics,59:57.7,"On average, how many hours of television do you watch per week?",3. 11-15 hours,demo
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,03:25.3,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,03:25.3,What is your gender?,1. Female,demo
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,03:25.3,What is your age?,1. 18-29,demo
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,03:25.3,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,03:25.3,What is your favourite (most experienced) genre(s) of live-televised programming?,4. Talk shows,demo
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,03:25.3,How often do you use closed captions when watching live-televised programming?,1. Always,demo
ef7d53853ffa4de1a0ce9d5ccc62d90e,demographics,03:25.3,"On average, how many hours of television do you watch per week?",3. 11-15 hours,demo
c7ae796602464bb883261e5ce45fb568,demographics,05:58.6,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
c7ae796602464bb883261e5ce45fb568,demographics,05:58.6,What is your gender?,2. Male,demo
c7ae796602464bb883261e5ce45fb568,demographics,05:58.6,What is your age?,1. 18-29,demo
c7ae796602464bb883261e5ce45fb568,demographics,05:58.6,What is your highest level of education completed?,5. Graduate school,demo
c7ae796602464bb883261e5ce45fb568,demographics,05:58.6,What is your favourite (most experienced) genre(s) of live-televised programming?,4. Talk shows,demo
c7ae796602464bb883261e5ce45fb568,demographics,05:58.6,How often do you use closed captions when watching live-televised programming?,1. Always,demo
c7ae796602464bb883261e5ce45fb568,demographics,05:58.6,"On average, how many hours of television do you watch per week?",4. More than 15 hours,demo
966125f6356a48df8e9ed4fd7e4202bd,demographics,07:39.9,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,2. I identify as Deaf,demo
966125f6356a48df8e9ed4fd7e4202bd,demographics,07:39.9,What is your gender?,2. Male,demo
966125f6356a48df8e9ed4fd7e4202bd,demographics,07:39.9,What is your age?,1. 18-29,demo
966125f6356a48df8e9ed4fd7e4202bd,demographics,07:39.9,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
966125f6356a48df8e9ed4fd7e4202bd,demographics,07:39.9,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
966125f6356a48df8e9ed4fd7e4202bd,demographics,07:39.9,How often do you use closed captions when watching live-televised programming?,2. Frequently,demo
966125f6356a48df8e9ed4fd7e4202bd,demographics,07:39.9,"On average, how many hours of television do you watch per week?",4. More than 15 hours,demo
898d7fa37a434753818633ed03b3298f,demographics,09:52.8,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
898d7fa37a434753818633ed03b3298f,demographics,09:52.8,What is your gender?,2. Male,demo
898d7fa37a434753818633ed03b3298f,demographics,09:52.8,What is your age?,2. 30-39,demo
898d7fa37a434753818633ed03b3298f,demographics,09:52.8,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
898d7fa37a434753818633ed03b3298f,demographics,09:52.8,What is your favourite (most experienced) genre(s) of live-televised programming?,3. Weather forecast,demo
898d7fa37a434753818633ed03b3298f,demographics,09:52.8,How often do you use closed captions when watching live-televised programming?,3. Sometimes,demo
898d7fa37a434753818633ed03b3298f,demographics,09:52.8,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
9472f8a279b74498bb4372ec0307feca,demographics,12:11.2,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
9472f8a279b74498bb4372ec0307feca,demographics,12:11.2,What is your gender?,1. Female,demo
